ID,cy_2011,cy_2012,cy_2013,cy_2014,cy_2015,cy_2016,cy_2017,cy_2018,cy_2019,cy_2020,cy_2021,cy_2022,cy_2023
7240,0,0,1,0,0,0,0,0,0,0,0,0,0
8113,0,0,0,1,0,0,0,0,0,0,0,0,0
9409,0,0,0,0,0,0,0,0,0,1,0,0,0
8118,1,0,0,0,0,0,0,0,0,0,0,0,0
9410,2,0,0,1,1,0,0,0,1,1,1,0,0
8123,0,0,0,1,0,0,0,0,0,1,0,0,0
9413,3,1,0,0,2,0,1,4,0,1,1,0,0
8125,0,2,0,0,0,0,0,1,2,0,0,1,0
9414,5,3,0,2,1,0,5,1,5,3,0,1,0
8127,6,2,0,4,2,3,1,0,0,2,1,1,0
9415,1,1,0,0,0,0,1,0,1,0,1,0,0
8131,0,1,0,0,1,0,0,1,0,0,0,0,0
9418,2,1,0,1,0,1,1,0,1,0,0,0,0
8137,1,0,0,0,0,0,0,0,1,0,0,0,0
9419,0,0,0,0,1,0,0,0,0,0,0,0,0
8139,0,0,0,0,0,0,0,0,1,0,0,0,0
9420,0,0,1,0,0,0,0,1,2,0,0,0,0
8143,1,0,0,0,0,0,0,0,0,0,0,0,0
9421,0,1,1,0,1,0,0,0,0,1,1,0,0
8259,1,0,0,0,0,0,0,0,0,0,0,0,0
9422,3,4,5,3,3,1,6,4,5,5,4,2,0
8264,0,0,0,0,0,2,0,1,0,0,0,0,0
9428,1,3,0,0,0,1,2,0,3,0,1,2,0
8267,2,1,1,0,0,0,1,2,0,1,0,1,0
9429,2,3,1,0,1,1,0,0,2,0,0,0,0
8269,5,0,1,1,1,0,0,1,1,0,1,2,0
9433,0,0,0,0,0,0,0,0,1,0,0,0,0
8274,1,7,1,1,0,0,1,0,1,0,0,0,0
9434,0,0,1,0,1,1,1,1,2,1,0,1,0
8277,0,1,0,0,0,0,0,0,0,0,0,0,0
9435,3,2,2,0,1,2,4,3,2,1,0,0,0
8280,0,0,0,3,0,0,1,4,1,0,0,0,0
9440,1,1,0,0,0,1,0,0,0,1,1,0,0
8283,0,0,0,1,0,1,0,0,3,3,0,1,0
9443,0,0,0,0,0,1,0,0,0,0,0,0,0
